news_id	publish_time
N10450	2019-11-11 07:22:50
N10455	2019-11-09 21:06:59
N10459	2019-11-11 01:17:06
N1046	2019-11-12 16:57:40
N10462	2019-11-09 08:20:08
N10464	2019-11-11 03:17:57
N10468	2019-11-10 11:18:29
N10470	2019-11-09 03:35:28
N10472	2019-11-15 07:03:54
N10480	2019-11-12 22:23:39
N10482	2019-11-10 19:04:49
N10483	2019-11-14 04:44:42
N10484	2019-11-09 00:41:55
N10486	2019-11-11 10:31:53
N10493	2019-11-12 11:56:38
N10499	2019-11-11 12:00:54
N10500	2019-11-12 04:23:51
N10506	2019-11-13 13:08:38
N10510	2019-11-12 19:14:53
N10511	2019-11-13 21:09:54
N10514	2019-11-11 11:56:10
N10517	2019-11-13 05:28:45
N10522	2019-11-15 03:53:49
N10529	2019-11-11 03:17:57
N10532	2019-11-12 04:56:20
N10536	2019-11-12 13:18:47
N10537	2019-11-12 10:34:38
N10539	2019-11-10 19:47:08
N10540	2019-11-13 19:13:22
N10541	2019-11-13 17:22:38
N10544	2019-11-15 12:55:23
N10547	2019-11-13 13:42:41
N10551	2019-11-12 14:03:44
N10552	2019-11-13 19:22:07
N10553	2019-11-09 16:19:28
N10554	2019-11-14 08:44:23
N10555	2019-11-10 12:07:48
N10556	2019-11-15 03:52:46
N10558	2019-11-11 04:47:32
N10560	2019-11-09 02:59:47
N10565	2019-11-13 10:22:57
N10566	2019-11-15 08:30:16
N10569	2019-11-13 11:03:36
N10573	2019-11-11 15:18:37
N10577	2019-11-09 00:36:31
N10578	2019-11-09 06:15:02
N10579	2019-11-09 07:15:47
N1058	2019-11-15 21:08:22
N10587	2019-11-11 04:39:05
N1059	2019-11-13 20:13:38
N10590	2019-11-09 15:37:23
N10594	2019-11-14 05:22:28
N10596	2019-11-14 16:31:09
N10599	2019-11-10 16:45:49
N10600	2019-11-15 20:58:23
N10601	2019-11-09 10:25:25
N10602	2019-11-09 03:08:20
N10606	2019-11-12 06:47:22
N1061	2019-11-13 11:41:11
N10610	2019-11-10 03:48:10
N10611	2019-11-12 13:20:59
N10612	2019-11-15 04:44:08
N10613	2019-11-09 18:53:29
N10615	2019-11-10 18:54:59
N10616	2019-11-13 17:18:49
N10618	2019-11-13 10:31:55
N1062	2019-11-11 07:24:54
N10621	2019-11-12 12:21:02
N10623	2019-11-13 11:10:22
N10628	2019-11-11 10:29:56
N10629	2019-11-12 14:02:11
N10635	2019-11-09 00:36:31
N10637	2019-11-12 16:49:35
N10642	2019-11-11 16:07:20
N1065	2019-11-15 07:26:59
N10650	2019-11-11 06:04:29
N10651	2019-11-15 01:18:55
N10652	2019-11-14 04:44:14
N10659	2019-11-11 07:37:02
N10665	2019-11-10 11:12:58
N10668	2019-11-14 03:13:46
N10669	2019-11-14 14:05:13
N1067	2019-11-15 07:33:24
N10674	2019-11-12 16:57:40
N10677	2019-11-12 08:17:58
N10683	2019-11-09 20:02:58
N10687	2019-11-14 11:00:40
N10688	2019-11-10 20:03:21
N10694	2019-11-15 11:00:49
N10696	2019-11-10 23:01:49
N10697	2019-11-12 04:50:43
N107	2019-11-09 03:55:15
N10700	2019-11-12 04:01:49
N10703	2019-11-11 07:07:02
N10704	2019-11-13 16:04:19
N10705	2019-11-09 16:14:29
N10708	2019-11-10 14:31:15
N10709	2019-11-12 05:17:59
N10713	2019-11-10 01:57:42
N10719	2019-11-09 14:54:44
N10720	2019-11-13 05:05:40
N10733	2019-11-11 11:12:52
N1074	2019-11-11 05:36:55
N10741	2019-11-09 18:04:59
N10742	2019-11-13 02:08:41
N10746	2019-11-13 10:41:48
N10747	2019-11-09 16:12:38
N10750	2019-11-13 21:16:13
N10754	2019-11-09 03:59:03
N10757	2019-11-15 14:45:26
N10758	2019-11-13 11:49:45
N10759	2019-11-09 01:18:49
N10763	2019-11-09 17:38:36
N10769	2019-11-09 03:05:25
N10774	2019-11-09 04:29:43
N10776	2019-11-15 13:19:10
N10777	2019-11-14 10:42:35
N10783	2019-11-14 12:58:12
N10784	2019-11-11 10:08:58
N10785	2019-11-09 00:59:42
N10786	2019-11-15 08:59:41
N10787	2019-11-13 16:40:32
N10788	2019-11-13 09:11:30
N10789	2019-11-13 07:06:06
N1079	2019-11-12 13:05:01
N10791	2019-11-13 13:40:52
N10797	2019-11-09 03:29:07
N10798	2019-11-10 20:15:47
N10799	2019-11-09 01:54:15
N1080	2019-11-09 04:16:24
N10804	2019-11-09 01:12:20
N10806	2019-11-11 07:32:03
N10808	2019-11-10 16:16:02
N1081	2019-11-12 17:46:34
N10810	2019-11-12 07:15:44
N10812	2019-11-12 20:39:44
N10813	2019-11-14 17:23:22
N10819	2019-11-11 05:36:23
N1082	2019-11-09 00:04:04
N10821	2019-11-11 09:54:06
N10822	2019-11-09 08:09:59
N10825	2019-11-15 10:04:28
N10826	2019-11-14 18:06:46
N10828	2019-11-10 08:47:39
N10831	2019-11-15 05:13:46
N10832	2019-11-10 13:29:00
N10833	2019-11-13 06:43:40
N10840	2019-11-10 18:23:32
N10845	2019-11-12 14:27:35
N10846	2019-11-10 22:12:23
N10849	2019-11-10 17:57:13
N10857	2019-11-13 17:42:25
N10859	2019-11-12 11:05:34
N10866	2019-11-11 18:41:00
N10867	2019-11-09 00:34:48
N10869	2019-11-11 18:32:44
N10876	2019-11-15 22:00:44
N10877	2019-11-12 06:23:29
N10879	2019-11-09 01:39:52
N10880	2019-11-14 04:06:36
N10881	2019-11-15 05:36:16
N10883	2019-11-11 22:56:45
N10885	2019-11-15 06:33:16
N10895	2019-11-14 11:45:49
N10901	2019-11-15 07:39:43
N10902	2019-11-14 17:01:11
N10906	2019-11-10 15:28:18
N1091	2019-11-15 20:46:45
N10912	2019-11-15 19:15:24
N10913	2019-11-12 16:57:40
N10916	2019-11-10 07:15:19
N1092	2019-11-11 19:32:31
N10923	2019-11-12 15:43:57
N10926	2019-11-11 14:41:28
N10929	2019-11-12 10:02:11
N1093	2019-11-13 18:22:50
N10930	2019-11-15 09:25:31
N10931	2019-11-15 07:36:55
N10934	2019-11-15 09:56:38
N10940	2019-11-13 14:33:48
N10942	2019-11-14 05:28:03
N10943	2019-11-15 09:15:00
N10944	2019-11-11 08:07:26
N1095	2019-11-13 18:18:23
N10950	2019-11-13 12:50:47
N10951	2019-11-09 17:25:46
N10954	2019-11-11 17:24:50
N10957	2019-11-09 07:54:04
N10959	2019-11-14 04:29:10
N10960	2019-11-13 01:19:27
N10961	2019-11-11 06:43:32
N10963	2019-11-14 11:51:05
N10965	2019-11-11 17:49:45
N10969	2019-11-09 00:36:31
N1097	2019-11-12 05:52:26
N10971	2019-11-14 03:46:52
N10973	2019-11-12 12:19:01
N1099	2019-11-13 17:23:18
N10990	2019-11-13 12:51:36
N10992	2019-11-11 07:57:13
N10993	2019-11-14 10:51:55
N10994	2019-11-14 04:00:08
N10996	2019-11-09 16:34:13
N1100	2019-11-10 16:01:00
N11006	2019-11-09 07:52:58
N11007	2019-11-14 10:17:03
N11010	2019-11-13 08:29:45
N11015	2019-11-15 16:26:56
N11019	2019-11-15 17:32:38
N1102	2019-11-09 16:36:46
N11022	2019-11-13 07:55:06
N11023	2019-11-11 07:32:25
N11028	2019-11-10 14:55:23
N1103	2019-11-14 11:47:48
N11030	2019-11-10 11:55:53
N11032	2019-11-09 02:59:47
N11033	2019-11-11 07:59:59
N11036	2019-11-15 08:53:29
N11039	2019-11-09 03:35:45
N1104	2019-11-12 16:46:20
N11041	2019-11-14 16:22:57
N11047	2019-11-13 13:24:01
N1105	2019-11-13 04:59:28
N11050	2019-11-12 14:55:45
N11052	2019-11-13 17:24:07
N1106	2019-11-15 06:32:05
N11061	2019-11-14 04:56:06
N11063	2019-11-09 09:23:37
N1107	2019-11-15 15:14:51
N11077	2019-11-14 00:28:31
N11083	2019-11-15 19:42:20
N11086	2019-11-13 14:52:39
N11087	2019-11-12 16:37:04
N11092	2019-11-15 04:55:02
N11093	2019-11-09 19:08:59
N11094	2019-11-12 16:08:05
N11095	2019-11-09 11:01:21
N11099	2019-11-09 17:31:07
N111	2019-11-11 18:43:56
N1110	2019-11-15 02:06:11
N11103	2019-11-12 17:30:16
N11105	2019-11-09 16:51:20
N11119	2019-11-15 08:45:21
N11120	2019-11-12 03:06:25
N11122	2019-11-11 00:02:58
N11123	2019-11-13 09:14:45
N11127	2019-11-12 04:43:43
N11128	2019-11-11 17:40:47
N1113	2019-11-12 14:50:30
N11130	2019-11-13 10:41:38
N11131	2019-11-10 09:51:52
N11138	2019-11-11 18:03:04
N1114	2019-11-11 04:13:44
N11144	2019-11-14 07:22:10
N11145	2019-11-09 03:34:18
N11148	2019-11-12 10:16:36
N11149	2019-11-13 14:32:44
N11150	2019-11-15 04:23:40
N11153	2019-11-15 12:34:23
N11158	2019-11-09 03:33:39
N11159	2019-11-13 07:57:05
N11162	2019-11-10 01:32:34
N11164	2019-11-13 13:38:37
N11166	2019-11-11 10:11:07
N11167	2019-11-12 16:52:48
N1117	2019-11-09 05:36:11
N11170	2019-11-09 05:57:52
N11179	2019-11-11 13:45:14
N11182	2019-11-14 14:38:37
N11183	2019-11-14 04:53:18
N11186	2019-11-15 13:40:15
N1119	2019-11-11 11:57:38
N11190	2019-11-09 22:28:01
N11191	2019-11-11 16:38:27
N11193	2019-11-15 11:09:04
N11194	2019-11-14 14:02:59
N11199	2019-11-10 06:25:01
N112	2019-11-11 07:52:36
N11204	2019-11-13 20:44:20
N11211	2019-11-11 11:16:29
N11213	2019-11-13 19:29:39
N11214	2019-11-13 06:58:40
N11217	2019-11-15 06:07:14
N11218	2019-11-15 11:17:32
N11220	2019-11-15 04:10:30
N11223	2019-11-13 14:24:28
N11224	2019-11-13 12:07:26
N11225	2019-11-14 13:54:15
N1123	2019-11-09 03:07:31
N11230	2019-11-12 20:32:48
N11237	2019-11-11 06:33:27
N11244	2019-11-14 05:43:21
N11247	2019-11-09 16:32:31
N1125	2019-11-11 19:52:56
N11250	2019-11-13 10:45:57
N11253	2019-11-14 10:56:00
N11257	2019-11-13 17:22:38
N11258	2019-11-13 08:56:15
N11262	2019-11-11 15:50:13
N11263	2019-11-11 06:32:57
N11269	2019-11-11 10:57:50
N11270	2019-11-15 06:38:19
N11273	2019-11-09 06:50:07
N11274	2019-11-09 16:25:48
N11275	2019-11-10 14:18:44
N1128	2019-11-09 14:28:08
N11280	2019-11-11 07:35:57
N11285	2019-11-09 03:42:11
N11286	2019-11-13 14:45:20
N11287	2019-11-13 11:48:32
N11289	2019-11-14 22:36:27
N1129	2019-11-09 01:51:05
N11290	2019-11-13 16:51:21
N11293	2019-11-11 09:44:11
N11296	2019-11-14 07:06:14
N11298	2019-11-12 06:05:33
N11301	2019-11-11 03:21:19
N11303	2019-11-09 06:42:33
N11306	2019-11-11 04:27:54
N11308	2019-11-15 10:34:06
N11309	2019-11-15 17:08:08
N11310	2019-11-11 17:03:19
N11312	2019-11-13 00:26:54
N11316	2019-11-14 10:18:43
N11324	2019-11-12 16:20:01
N11328	2019-11-13 17:41:38
N11329	2019-11-09 05:34:34
N11333	2019-11-11 09:08:13
N11334	2019-11-12 13:32:35
N11336	2019-11-10 19:54:18
N11337	2019-11-09 04:57:26
N1134	2019-11-10 16:42:04
N11341	2019-11-14 03:13:46
N11342	2019-11-12 13:44:44
N11345	2019-11-10 18:16:18
N11351	2019-11-09 18:26:49
N11354	2019-11-11 11:27:32
N11356	2019-11-09 06:23:23
N11359	2019-11-15 08:01:35
N1136	2019-11-10 12:13:26
N11360	2019-11-09 06:46:49
N11362	2019-11-09 12:23:42
N11363	2019-11-09 00:06:44
N11364	2019-11-11 05:18:19
N11366	2019-11-10 00:31:28
N11371	2019-11-09 12:41:18
N11373	2019-11-11 13:23:02
N11376	2019-11-11 13:07:27
N11378	2019-11-13 10:18:07
N11379	2019-11-09 00:59:42
N1138	2019-11-14 03:54:16
N11380	2019-11-10 23:46:02
N11381	2019-11-10 16:22:12
N11384	2019-11-09 00:19:15
N11388	2019-11-12 16:37:49
N11390	2019-11-15 04:01:02
N11392	2019-11-10 13:16:19
N11396	2019-11-11 06:31:27
N11397	2019-11-14 09:33:20
N114	2019-11-15 15:53:39
N1140	2019-11-11 11:24:57
N11403	2019-11-13 04:43:16
N11406	2019-11-09 19:26:08
N11407	2019-11-13 06:45:47
N11408	2019-11-13 07:55:54
N1141	2019-11-12 18:45:32
N11410	2019-11-14 09:19:14
N11415	2019-11-09 00:38:43
N11417	2019-11-15 02:35:29
N11419	2019-11-11 08:22:53
N1142	2019-11-11 09:29:57
N11420	2019-11-13 02:13:48
N11422	2019-11-14 06:39:37
N11423	2019-11-09 23:43:45
N11425	2019-11-15 11:30:29
N11428	2019-11-14 09:30:40
N11433	2019-11-13 10:46:12
N11436	2019-11-15 16:00:42
N11437	2019-11-13 16:12:23
N11439	2019-11-09 01:29:13
N11440	2019-11-09 04:40:25
N11441	2019-11-10 19:02:23
N11443	2019-11-12 17:34:38
N11452	2019-11-11 10:00:16
N11453	2019-11-13 06:35:41
N11456	2019-11-12 05:45:51
N11457	2019-11-09 02:18:55
N11459	2019-11-11 09:25:52
N11460	2019-11-15 03:32:05
N11464	2019-11-11 05:59:20
N11465	2019-11-12 13:07:22
N11466	2019-11-10 11:01:32
N11469	2019-11-15 07:18:10
N11470	2019-11-14 08:46:12
N11473	2019-11-14 14:43:51
N11476	2019-11-14 11:41:03
N11481	2019-11-11 22:50:07
N11483	2019-11-09 00:36:31
N11484	2019-11-09 00:16:38
N11486	2019-11-09 16:36:46
N11491	2019-11-11 03:20:20
N11492	2019-11-10 05:35:56
N11498	2019-11-09 06:55:09
N115	2019-11-14 17:38:21
N11501	2019-11-09 04:36:53
N11502	2019-11-11 10:41:04
N11510	2019-11-13 11:23:38
N11511	2019-11-12 09:31:37
N11513	2019-11-09 08:46:32
N11517	2019-11-11 18:42:28
N11520	2019-11-12 05:57:07
N11523	2019-11-09 00:31:12
N11533	2019-11-12 06:02:56
N11534	2019-11-10 11:17:41
N1154	2019-11-14 08:33:36
N11541	2019-11-10 02:50:45
N11542	2019-11-14 05:31:41
N11546	2019-11-15 13:12:48
N11547	2019-11-12 07:23:28
N1155	2019-11-09 09:55:52
N11551	2019-11-13 01:01:21
N11553	2019-11-14 08:17:34
N11555	2019-11-09 07:47:16
N11556	2019-11-15 02:53:54
N1156	2019-11-11 12:39:35
N11565	2019-11-14 14:46:43
N11567	2019-11-09 03:18:21
N11569	2019-11-14 20:24:48
N11570	2019-11-15 04:46:34
N11572	2019-11-15 00:51:51
N11573	2019-11-13 11:10:53
N11576	2019-11-09 09:36:06
N11581	2019-11-13 05:46:11
N11587	2019-11-10 14:40:23
N11589	2019-11-14 12:58:10
N11591	2019-11-09 05:31:51
N11593	2019-11-15 08:00:33
N11595	2019-11-12 19:05:18
N11598	2019-11-13 10:07:15
N1160	2019-11-13 12:53:08
N11600	2019-11-15 06:24:13
N11601	2019-11-09 10:17:27
N11602	2019-11-11 14:36:50
N11606	2019-11-13 17:15:27
N11608	2019-11-12 18:31:25
N11610	2019-11-11 15:36:12
N11612	2019-11-13 16:42:20
N11614	2019-11-13 17:22:38
N11617	2019-11-11 12:27:58
N11619	2019-11-13 04:57:37
N1162	2019-11-12 14:19:09
N11622	2019-11-15 11:10:18
N11624	2019-11-10 04:04:36
N11625	2019-11-14 05:15:25
N11627	2019-11-14 17:29:49
N11628	2019-11-13 05:22:14
N11644	2019-11-09 00:16:38
N11645	2019-11-14 18:15:32
N11648	2019-11-15 10:36:46
N11652	2019-11-15 04:25:15
N11654	2019-11-09 03:14:37
N11655	2019-11-09 11:51:16
N11658	2019-11-11 05:23:28
N11659	2019-11-13 11:38:49
N1166	2019-11-14 19:26:38
N11660	2019-11-14 04:47:06
N11662	2019-11-14 05:15:25
N11664	2019-11-12 04:28:56
N11666	2019-11-11 21:14:36
N11671	2019-11-11 20:57:22
N11672	2019-11-13 20:11:42
N11675	2019-11-10 21:24:08
N11681	2019-11-14 16:11:49
N11682	2019-11-10 13:00:52
N11686	2019-11-10 19:38:24
N11687	2019-11-12 04:46:22
N11689	2019-11-09 06:57:07
N11694	2019-11-10 19:39:01
N11695	2019-11-13 10:45:57
N11696	2019-11-14 14:57:55
N11697	2019-11-11 06:28:44
N11698	2019-11-15 06:57:01
N1170	2019-11-15 04:29:29
N11702	2019-11-09 17:49:12
N11707	2019-11-12 16:59:23
N11708	2019-11-09 00:11:00
N11712	2019-11-12 10:43:19
N11718	2019-11-13 12:03:49
N1172	2019-11-14 04:36:56
N11720	2019-11-09 01:55:25
N11721	2019-11-12 06:00:38
N11722	2019-11-14 12:50:05
N11727	2019-11-09 07:52:58
N1173	2019-11-12 06:02:26
N11736	2019-11-12 14:47:34
N11738	2019-11-09 00:03:28
N11739	2019-11-11 16:25:06
N1174	2019-11-12 04:09:45
N11746	2019-11-13 06:00:28
N11749	2019-11-14 12:45:00
N11752	2019-11-12 19:42:56
N11757	2019-11-12 05:29:51
N11758	2019-11-12 03:11:04
N11762	2019-11-13 12:04:02
N11764	2019-11-09 19:13:24
N11768	2019-11-11 06:25:21
N11769	2019-11-12 16:26:12
N1177	2019-11-14 10:29:44
N11770	2019-11-12 15:18:26
N11771	2019-11-15 05:11:30
N11772	2019-11-14 16:15:42
N11778	2019-11-15 02:15:49
N11780	2019-11-09 01:18:49
N11784	2019-11-14 16:09:38
N11789	2019-11-15 07:17:47
N11790	2019-11-11 12:24:52
N11791	2019-11-13 16:55:04
N11793	2019-11-11 18:09:15
N11796	2019-11-14 01:55:07
N11797	2019-11-12 16:11:45
N11799	2019-11-09 02:20:50
N1180	2019-11-12 19:05:30
N11800	2019-11-11 13:23:02
N11803	2019-11-15 22:40:57
N11806	2019-11-09 05:40:48
N11808	2019-11-15 05:04:58
N11809	2019-11-11 07:13:17
N1181	2019-11-11 10:59:03
N11811	2019-11-14 16:27:54
N11813	2019-11-11 19:45:50
N11814	2019-11-12 05:27:22
N11816	2019-11-13 14:49:07
N11817	2019-11-11 08:43:56
N11819	2019-11-12 16:22:54
N11820	2019-11-11 11:23:22
N11821	2019-11-09 02:04:34
N11822	2019-11-12 21:27:06
N11823	2019-11-15 09:03:33
N11824	2019-11-13 08:58:26
N11826	2019-11-11 04:08:00
N11827	2019-11-11 16:28:37
N11828	2019-11-11 16:22:20
N1183	2019-11-09 00:16:38
N11830	2019-11-09 03:04:54
N11831	2019-11-09 00:59:42
N11836	2019-11-09 02:26:55
N11840	2019-11-11 23:58:36
N11846	2019-11-15 21:14:47
N11848	2019-11-10 02:50:45
N11849	2019-11-09 00:30:41
N1185	2019-11-15 10:09:56
N11850	2019-11-09 13:36:45
N11853	2019-11-09 07:21:50
N11856	2019-11-11 20:28:51
N11858	2019-11-09 19:28:02
N1186	2019-11-15 09:16:10
N11860	2019-11-11 05:23:31
N11864	2019-11-09 10:17:27
N11868	2019-11-11 08:24:12
N11869	2019-11-12 16:16:12
N1187	2019-11-14 17:47:13
N11871	2019-11-11 15:03:20
N11874	2019-11-09 03:28:20
N11877	2019-11-12 05:13:10
N11878	2019-11-10 17:39:12
N1188	2019-11-11 05:57:07
N11887	2019-11-10 04:27:28
N11889	2019-11-14 14:44:28
N1189	2019-11-14 09:06:28
N11893	2019-11-09 12:16:36
N11895	2019-11-12 07:41:23
N11898	2019-11-13 10:57:06
N11899	2019-11-12 03:45:14
N1190	2019-11-09 04:08:19
N11906	2019-11-13 15:28:06
N11908	2019-11-11 10:34:02
N11909	2019-11-12 06:01:43
N11911	2019-11-09 00:04:04
N11918	2019-11-09 06:17:24
N11920	2019-11-11 00:32:18
N11921	2019-11-14 14:51:24
N11923	2019-11-12 15:05:38
N11924	2019-11-14 05:05:17
N11926	2019-11-10 06:54:39
N11929	2019-11-11 05:32:09
N11930	2019-11-09 13:14:37
N11931	2019-11-14 16:11:49
N11932	2019-11-14 17:36:30
N11937	2019-11-14 11:10:59
N11940	2019-11-13 17:42:25
N11941	2019-11-11 19:46:56
N11942	2019-11-12 02:48:52
N11944	2019-11-15 14:41:24
N11949	2019-11-12 16:24:17
N11951	2019-11-11 20:09:29
N11955	2019-11-15 08:35:18
N11958	2019-11-10 10:14:27
N1196	2019-11-09 00:59:42
N11961	2019-11-14 08:01:30
N11964	2019-11-12 16:11:49
N11967	2019-11-12 13:54:23
N11968	2019-11-12 05:37:41
N11969	2019-11-09 05:29:43
N11970	2019-11-11 15:07:59
N11972	2019-11-14 08:10:17
N11974	2019-11-15 07:00:29
N11975	2019-11-13 04:30:06
N11984	2019-11-09 04:40:05
N11988	2019-11-11 16:01:35
N1199	2019-11-11 05:21:46
N11990	2019-11-09 02:18:55
N11994	2019-11-14 04:23:57
N12000	2019-11-11 06:14:35
N12002	2019-11-12 13:11:38
N12004	2019-11-13 11:12:31
N12005	2019-11-11 20:57:22
N12009	2019-11-09 05:33:37
N12013	2019-11-14 04:12:53
N12014	2019-11-09 19:41:57
N12017	2019-11-14 04:56:26
N12018	2019-11-15 10:22:34
N12019	2019-11-15 07:14:18
N12020	2019-11-12 05:34:35
N12021	2019-11-09 17:30:37
N12022	2019-11-10 17:24:03
N12024	2019-11-14 14:49:58
N12028	2019-11-10 18:23:32
N12029	2019-11-12 16:14:42
N12031	2019-11-12 05:45:51
N12033	2019-11-11 04:28:37
N12035	2019-11-11 06:58:32
N12037	2019-11-13 17:32:24
N12039	2019-11-11 12:42:36
N1204	2019-11-14 16:11:49
N12040	2019-11-11 23:00:01
N12042	2019-11-10 18:36:23
N12043	2019-11-15 13:43:55
N12044	2019-11-10 14:28:30
N12045	2019-11-09 01:18:49
N12049	2019-11-12 20:37:09
